Title,URL
Forested Wetlands Are Missing from Maps,https://www.hcn.org/articles/the-wests-wetlands-are-struggling-some-have-been-overlooked-altogether/
Apollo 8 astronaut William Anders ID'd in WA plane crash,https://www.fox13seattle.com/news/william-anders-wa-plane-crash
Own a weather station? We want your data,https://www.weather.gov/iln/cwop
What Is PID 0?,https://blog.dave.tf/post/linux-pid0/
South Pole Water Infrastructure,https://brr.fyi/posts/south-pole-water-infrastructure
ASCII Silhouettify,https://meatfighter.com/ascii-silhouettify/
Feynman’s Razor,https://defenderofthebasic.substack.com/p/feynmans-razor
"Xv6, a simple Unix-like teaching operating system",https://pdos.csail.mit.edu/6.828/2023/xv6.html
Flexport (YC W14) Is Hiring a Senior Applied Research Scientist,https://boards.greenhouse.io/flexport/jobs/5806177?gh_jid=5806177
A pure NumPy implementation of Mamba,https://github.com/idoh/mamba.np
